sub_category,image,actual_price,name
Air Conditioners,https://m.media-amazon.com/images/I/61hrzDc3aTL._AC_UL320_.jpg,"â‚?42,990","Voltas 1.5 Ton 3 Star, Fixed Speed Window AC (Copper, Turbo Mode, 2023 Model, 183 Vectra Pearl, White)"
Air Conditioners,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,"â‚?85,990","LG 2.0 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, 4 Way Swing, HD Filter with Anti-Vi..."
Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,"â‚?56,990","Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elite, Wh..."
Air Conditioners,https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,,"LG 1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & Anti Allergic..."
Air Conditioners,https://m.media-amazon.com/images/I/71Z9+rx576L._AC_UL320_.jpg,"â‚?49,000","AmazonBasics 1 Ton 3 Star Split Ac (White, Copper, Anti Corrosion Coating)"
Air Conditioners,https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,"â‚?49,990","Voltas 1.5 Ton 3 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 183V Vertis Elite, White)"
Air Conditioners,https://m.media-amazon.com/images/I/61zXnk6ikEL._AC_UL320_.jpg,"â‚?50,600","Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ..."
Air Conditioners,https://m.media-amazon.com/images/I/51PxFWmK-dL._AC_UL320_.jpg,"â‚?73,000","Blue Star 1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, 4 Way Swing, Stabalizer Free Operation, Dus..."
Air Conditioners,https://m.media-amazon.com/images/I/51pSParNYHL._AC_UL320_.jpg,"â‚?83,990","Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023..."
Air Conditioners,https://m.media-amazon.com/images/I/61eO9hzoLzL._AC_UL320_.jpg,"â‚?78,990","LG 1 Ton 5 Star AI+ DUAL Inverter Wi-Fi Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Prot..."
Air Conditioners,https://m.media-amazon.com/images/I/51s3yrWntML._AC_UL320_.jpg,"â‚?56,179","Amazon Basics 1.5 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Twin Rotary Inverter Split AC (Copper Condense..."
Air Conditioners,https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,"â‚?59,700",Hitachi Split Ac - 1.5 Ton Shizen 3100SÂ  Inverter - R32 - RSQG318HFEOF (Gold)
Air Conditioners,https://m.media-amazon.com/images/I/61QqYXeyX6L._AC_UL320_.jpg,"â‚?30,000","Blue Star 0.8 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr..."
Air Conditioners,https://m.media-amazon.com/images/I/71ovlk0vAwL._AC_UL320_.jpg,"â‚?29,490",Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF White)
Air Conditioners,https://m.media-amazon.com/images/I/61wH+RMNHLL._AC_UL320_.jpg,"â‚?40,900","Cruise 1 Ton [Portable Antibacterial Coating, Dust Filter, Air Purifier, Dehumidifier Portable Ac (Copper, Cpcatf-Pq3S12, ..."
Air Conditioners,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,"â‚?77,150","Panasonic 2 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ..."
Air Conditioners,https://m.media-amazon.com/images/I/61U+94m1YiL._AC_UL320_.jpg,"â‚?87,900","Panasonic 2 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, Twin Cool, PM 0...."
Air Conditioners,https://m.media-amazon.com/images/I/41K8zEvR84L._AC_UL320_.jpg,"â‚?71,750","Blue Star 2 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Smart Ready, Auto Defrost, Multi Sensors,Stab..."
Air Conditioners,https://m.media-amazon.com/images/I/41pKfo8B+xL._AC_UL320_.jpg,"â‚?59,990","Lloyd 1.5 Ton 2 Star Fixed Speed Split AC (Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White, GLS18C2XWASS)"
Air Conditioners,https://m.media-amazon.com/images/I/61IET4dPHRL._AC_UL320_.jpg,"â‚?54,590","Carrier 1 Ton 3 Star Fixed Speed Split AC (Copper,Auto Cleanser, Economic Sleep Mode, High Density Filter for Dust Filtrat..."
Air Conditioners,https://m.media-amazon.com/images/I/710itwHC0zL._AC_UL320_.jpg,"â‚?35,990",Voltas SAC 123 Vectra Platina Fixed Window AC 1 Ton
Air Conditioners,https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,"â‚?48,200",Hitachi SPLIT AC - 1.0 Ton HITACHI SHIZEN 3100S INVERTER - R32 - RAPG312HFEOZ1 (Gold)
Air Conditioners,https://m.media-amazon.com/images/I/71iTRaVQJiL._AC_UL320_.jpg,"â‚?52,990","Samsung 1 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (An..."
Air Conditioners,https://m.media-amazon.com/images/I/418VQew9c-L._AC_UL320_.jpg,"â‚?73,800","Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 1.0 Filter, 2022 Model, JTKJ50U, White)"
Air Conditioners,https://m.media-amazon.com/images/I/71z2BRd3jbL._AC_UL320_.jpg,"â‚?61,400","Panasonic 1.5 Ton 3 Star Hot and Cold Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, T..."
Air Conditioners,https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,"â‚?66,900","Whirlpool 1.5 Ton 4 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3..."
Air Conditioners,https://m.media-amazon.com/images/I/41ACywlcM1L._AC_UL320_.jpg,"â‚?68,990","Voltas 1.5 Ton 3 Star, Inverter Split AC(Copper, 5-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 183V Vertis Emeral..."
Air Conditioners,https://m.media-amazon.com/images/I/41AY1pk5oRL._AC_UL320_.jpg,,"Hitachi 1.5 Ton 5 Star Inverter Split AC (Copper, Dust Filter, 2022 Model, RSRG518HFEOZ1, White)"
Air Conditioners,https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,"â‚?55,990","LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, ..."
Air Conditioners,https://m.media-amazon.com/images/I/61RB58VyTqL._AC_UL320_.jpg,"â‚?58,990","Blue Star 2 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop..."
Air Conditioners,https://m.media-amazon.com/images/I/51pCXb6xOQL._AC_UL320_.jpg,"â‚?78,200","Whirlpool 2.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3..."
Air Conditioners,https://m.media-amazon.com/images/I/61bGljJ9PjL._AC_UL320_.jpg,"â‚?30,520",OGENERAL AMGB09BAWA-B WINDOW AC 0.75 TON 5 STAR (White)
Air Conditioners,https://m.media-amazon.com/images/I/61+j+qGXWeL._AC_UL320_.jpg,"â‚?72,900","Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, n..."
Air Conditioners,https://m.media-amazon.com/images/I/71RWs4nAXjL._AC_UL320_.jpg,"â‚?2,999",Small Personal Air Conditioners Mini Air Conditioner Portable AC Fan with 3 Wind Speed & Humidifier & 7 Colorful Nightligh...
Air Conditioners,https://m.media-amazon.com/images/I/51pp0iI8MHL._AC_UL320_.jpg,"â‚?42,900","Godrej 1.5 Ton 3 Star Inverter Split AC (Copper, 2022 model, 5-in-1 convertible, Nano-Coated anti-viral filter AC 1.5T GIC..."
Air Conditioners,https://m.media-amazon.com/images/I/71hnes2pyTL._AC_UL320_.jpg,"â‚?76,900","Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, n..."
Air Conditioners,https://m.media-amazon.com/images/I/71EGtaLjCkL._AC_UL320_.jpg,"â‚?49,990",Voltas 1.5 Ton 5 Star Inverter Window AC (Copper 185V DZA White)
